类别：所有类别

周,flight: (全球)
2015-11-01,65
2015-11-08,61
2015-11-15,61
2015-11-22,59
2015-11-29,61
2015-12-06,63
2015-12-13,66
2015-12-20,71
2015-12-27,78
2016-01-03,70
2016-01-10,67
2016-01-17,66
2016-01-24,64
2016-01-31,63
2016-02-07,63
2016-02-14,64
2016-02-21,65
2016-02-28,65
2016-03-06,65
2016-03-13,67
2016-03-20,71
2016-03-27,68
2016-04-03,66
2016-04-10,63
2016-04-17,64
2016-04-24,64
2016-05-01,67
2016-05-08,68
2016-05-15,77
2016-05-22,75
2016-05-29,72
2016-06-05,72
2016-06-12,72
2016-06-19,74
2016-06-26,74
2016-07-03,73
2016-07-10,73
2016-07-17,77
2016-07-24,77
2016-07-31,79
2016-08-07,76
2016-08-14,72
2016-08-21,70
2016-08-28,71
2016-09-04,72
2016-09-11,71
2016-09-18,68
2016-09-25,68
2016-10-02,70
2016-10-09,69
2016-10-16,68
2016-10-23,66
2016-10-30,65
2016-11-06,60
2016-11-13,65
2016-11-20,65
2016-11-27,69
2016-12-04,67
2016-12-11,76
2016-12-18,85
2016-12-25,84
2017-01-01,87
2017-01-08,82
2017-01-15,73
2017-01-22,70
2017-01-29,68
2017-02-05,71
2017-02-12,69
2017-02-19,74
2017-02-26,74
2017-03-05,75
2017-03-12,79
2017-03-19,72
2017-03-26,75
2017-04-02,76
2017-04-09,81
2017-04-16,72
2017-04-23,76
2017-04-30,77
2017-05-07,75
2017-05-14,75
2017-05-21,79
2017-05-28,78
2017-06-04,76
2017-06-11,79
2017-06-18,84
2017-06-25,81
2017-07-02,82
2017-07-09,84
2017-07-16,84
2017-07-23,85
2017-07-30,86
2017-08-06,83
2017-08-13,80
2017-08-20,79
2017-08-27,78
2017-09-03,81
2017-09-10,78
2017-09-17,77
2017-09-24,73
2017-10-01,75
2017-10-08,75
2017-10-15,74
2017-10-22,76
2017-10-29,71
2017-11-05,74
2017-11-12,74
2017-11-19,73
2017-11-26,73
2017-12-03,72
2017-12-10,80
2017-12-17,87
2017-12-24,92
2017-12-31,96
2018-01-07,88
2018-01-14,81
2018-01-21,75
2018-01-28,73
2018-02-04,78
2018-02-11,76
2018-02-18,78
2018-02-25,87
2018-03-04,82
2018-03-11,81
2018-03-18,88
2018-03-25,82
2018-04-01,81
2018-04-08,82
2018-04-15,86
2018-04-22,78
2018-04-29,80
2018-05-06,79
2018-05-13,81
2018-05-20,83
2018-05-27,83
2018-06-03,84
2018-06-10,85
2018-06-17,83
2018-06-24,88
2018-07-01,85
2018-07-08,88
2018-07-15,92
2018-07-22,92
2018-07-29,91
2018-08-05,91
2018-08-12,93
2018-08-19,87
2018-08-26,83
2018-09-02,85
2018-09-09,83
2018-09-16,82
2018-09-23,80
2018-09-30,80
2018-10-07,84
2018-10-14,80
2018-10-21,77
2018-10-28,82
2018-11-04,76
2018-11-11,84
2018-11-18,80
2018-11-25,80
2018-12-02,76
2018-12-09,80
2018-12-16,91
2018-12-23,91
2018-12-30,90
2019-01-06,89
2019-01-13,86
2019-01-20,86
2019-01-27,86
2019-02-03,82
2019-02-10,85
2019-02-17,87
2019-02-24,89
2019-03-03,87
2019-03-10,96
2019-03-17,83
2019-03-24,82
2019-03-31,80
2019-04-07,83
2019-04-14,85
2019-04-21,81
2019-04-28,82
2019-05-05,80
2019-05-12,82
2019-05-19,83
2019-05-26,85
2019-06-02,86
2019-06-09,92
2019-06-16,94
2019-06-23,93
2019-06-30,93
2019-07-07,95
2019-07-14,92
2019-07-21,94
2019-07-28,90
2019-08-04,94
2019-08-11,91
2019-08-18,90
2019-08-25,90
2019-09-01,87
2019-09-08,88
2019-09-15,87
2019-09-22,85
2019-09-29,82
2019-10-06,83
2019-10-13,82
2019-10-20,83
2019-10-27,79
2019-11-03,82
2019-11-10,83
2019-11-17,81
2019-11-24,85
2019-12-01,86
2019-12-08,80
2019-12-15,91
2019-12-22,94
2019-12-29,93
2020-01-05,100
2020-01-12,97
2020-01-19,85
2020-01-26,82
2020-02-02,81
2020-02-09,86
2020-02-16,84
2020-02-23,83
2020-03-01,78
2020-03-08,98
2020-03-15,86
2020-03-22,51
2020-03-29,36
2020-04-05,36
2020-04-12,34
2020-04-19,34
2020-04-26,34
2020-05-03,35
2020-05-10,37
2020-05-17,42
2020-05-24,45
2020-05-31,42
2020-06-07,42
2020-06-14,42
2020-06-21,43
2020-06-28,44
2020-07-05,43
2020-07-12,45
2020-07-19,44
2020-07-26,45
2020-08-02,49
2020-08-09,45
2020-08-16,61
2020-08-23,53
2020-08-30,47
2020-09-06,49
2020-09-13,44
2020-09-20,43
2020-09-27,43
2020-10-04,42
2020-10-11,41
2020-10-18,40
2020-10-25,41
