类别：所有类别

周,propagate: (全球)
2015-11-01,23
2015-11-08,19
2015-11-15,22
2015-11-22,16
2015-11-29,19
2015-12-06,21
2015-12-13,18
2015-12-20,9
2015-12-27,14
2016-01-03,17
2016-01-10,18
2016-01-17,15
2016-01-24,15
2016-01-31,20
2016-02-07,19
2016-02-14,20
2016-02-21,21
2016-02-28,24
2016-03-06,23
2016-03-13,21
2016-03-20,26
2016-03-27,26
2016-04-03,30
2016-04-10,30
2016-04-17,29
2016-04-24,28
2016-05-01,28
2016-05-08,29
2016-05-15,27
2016-05-22,27
2016-05-29,29
2016-06-05,29
2016-06-12,29
2016-06-19,24
2016-06-26,22
2016-07-03,26
2016-07-10,25
2016-07-17,24
2016-07-24,24
2016-07-31,25
2016-08-07,20
2016-08-14,22
2016-08-21,20
2016-08-28,22
2016-09-04,26
2016-09-11,27
2016-09-18,26
2016-09-25,23
2016-10-02,24
2016-10-09,22
2016-10-16,22
2016-10-23,23
2016-10-30,23
2016-11-06,19
2016-11-13,25
2016-11-20,18
2016-11-27,21
2016-12-04,21
2016-12-11,19
2016-12-18,17
2016-12-25,15
2017-01-01,20
2017-01-08,18
2017-01-15,21
2017-01-22,20
2017-01-29,20
2017-02-05,25
2017-02-12,24
2017-02-19,28
2017-02-26,27
2017-03-05,27
2017-03-12,27
2017-03-19,29
2017-03-26,31
2017-04-02,32
2017-04-09,33
2017-04-16,31
2017-04-23,32
2017-04-30,31
2017-05-07,29
2017-05-14,33
2017-05-21,32
2017-05-28,32
2017-06-04,32
2017-06-11,28
2017-06-18,29
2017-06-25,27
2017-07-02,28
2017-07-09,30
2017-07-16,29
2017-07-23,30
2017-07-30,25
2017-08-06,24
2017-08-13,28
2017-08-20,26
2017-08-27,31
2017-09-03,26
2017-09-10,26
2017-09-17,28
2017-09-24,27
2017-10-01,29
2017-10-08,24
2017-10-15,26
2017-10-22,25
2017-10-29,24
2017-11-05,25
2017-11-12,25
2017-11-19,24
2017-11-26,26
2017-12-03,25
2017-12-10,21
2017-12-17,17
2017-12-24,17
2017-12-31,19
2018-01-07,22
2018-01-14,20
2018-01-21,23
2018-01-28,23
2018-02-04,23
2018-02-11,25
2018-02-18,26
2018-02-25,26
2018-03-04,30
2018-03-11,27
2018-03-18,27
2018-03-25,29
2018-04-01,32
2018-04-08,32
2018-04-15,31
2018-04-22,35
2018-04-29,36
2018-05-06,35
2018-05-13,38
2018-05-20,38
2018-05-27,39
2018-06-03,38
2018-06-10,40
2018-06-17,32
2018-06-24,32
2018-07-01,30
2018-07-08,31
2018-07-15,31
2018-07-22,31
2018-07-29,31
2018-08-05,32
2018-08-12,30
2018-08-19,30
2018-08-26,29
2018-09-02,31
2018-09-09,34
2018-09-16,32
2018-09-23,30
2018-09-30,31
2018-10-07,29
2018-10-14,28
2018-10-21,34
2018-10-28,30
2018-11-04,29
2018-11-11,26
2018-11-18,23
2018-11-25,23
2018-12-02,25
2018-12-09,22
2018-12-16,23
2018-12-23,19
2018-12-30,22
2019-01-06,28
2019-01-13,24
2019-01-20,28
2019-01-27,30
2019-02-03,29
2019-02-10,32
2019-02-17,34
2019-02-24,34
2019-03-03,33
2019-03-10,33
2019-03-17,34
2019-03-24,35
2019-03-31,38
2019-04-07,42
2019-04-14,47
2019-04-21,42
2019-04-28,46
2019-05-05,42
2019-05-12,43
2019-05-19,45
2019-05-26,44
2019-06-02,45
2019-06-09,43
2019-06-16,36
2019-06-23,41
2019-06-30,41
2019-07-07,44
2019-07-14,41
2019-07-21,44
2019-07-28,40
2019-08-04,39
2019-08-11,42
2019-08-18,41
2019-08-25,39
2019-09-01,41
2019-09-08,40
2019-09-15,41
2019-09-22,40
2019-09-29,39
2019-10-06,42
2019-10-13,38
2019-10-20,35
2019-10-27,36
2019-11-03,35
2019-11-10,34
2019-11-17,34
2019-11-24,28
2019-12-01,31
2019-12-08,31
2019-12-15,27
2019-12-22,23
2019-12-29,26
2020-01-05,35
2020-01-12,35
2020-01-19,37
2020-01-26,35
2020-02-02,37
2020-02-09,39
2020-02-16,42
2020-02-23,41
2020-03-01,39
2020-03-08,40
2020-03-15,46
2020-03-22,53
2020-03-29,60
2020-04-05,70
2020-04-12,76
2020-04-19,82
2020-04-26,89
2020-05-03,94
2020-05-10,96
2020-05-17,100
2020-05-24,98
2020-05-31,94
2020-06-07,89
2020-06-14,96
2020-06-21,93
2020-06-28,95
2020-07-05,86
2020-07-12,93
2020-07-19,90
2020-07-26,91
2020-08-02,93
2020-08-09,85
2020-08-16,79
2020-08-23,86
2020-08-30,81
2020-09-06,81
2020-09-13,84
2020-09-20,74
2020-09-27,73
2020-10-04,68
2020-10-11,70
2020-10-18,64
2020-10-25,68
